Time,Length
282.074068000,60
282.447841000,84
282.544033000,60
283.163156000,84
283.264099000,60
283.740803000,84
283.833998000,60
284.200525000,84
284.207020000,84
284.209518000,84
284.211267000,84
284.213141000,84
284.215015000,84
284.313955000,60
285.001411000,84
285.093981000,60
285.452887000,84
285.554076000,60
285.904116000,84
285.906486000,84
285.908867000,84
286.004059000,60
286.296750000,84
286.393940000,60
286.723989000,60
287.151229000,84
288.993985000,60
289.693931000,60
290.004367000,90
290.103931000,60
290.442974000,1434
290.443100000,1434
290.443225000,1434
290.443232000,179
290.458591000,82
290.553908000,60
290.994640000,84
291.093829000,60
291.253857000,60
291.400892000,84
291.493836000,60
291.899589000,713
291.993907000,60
292.333075000,84
292.335961000,84
292.384043000,485
292.388292000,84
292.389916000,84
292.392414000,143
292.394163000,84
292.396037000,84
292.407280000,143
292.409153000,84
292.410902000,84
292.412660000,84
292.414400000,84
292.416524000,84
292.418273000,84
292.420031000,84
292.422021000,84
292.424269000,84
292.426644000,84
292.428767000,84
292.431891000,713
292.434396000,84
292.435887000,84
292.437636000,84
292.439386000,84
292.441259000,84
292.443632000,84
292.443882000,60
292.445381000,84
292.447258000,84
292.449879000,84
292.451752000,84
292.453506000,84
292.456125000,84
292.458124000,84
292.460372000,84
292.472494000,143
292.474738000,84
292.477362000,143
292.479115000,84
292.481734000,143
292.483858000,143
292.486607000,713
292.492353000,84
292.495604000,713
292.497724000,84
292.515848000,84
292.517715000,84
292.519461000,84
292.555447000,485
292.557189000,84
292.559063000,84
292.561561000,143
292.563685000,143
292.569556000,143
292.571679000,200
292.573178000,84
292.574678000,84
292.576676000,84
292.578429000,84
292.580674000,143
292.582798000,143
292.585797000,713
292.587795000,84
292.589419000,84
292.592676000,257
292.594173000,84
292.596165000,84
292.643886000,60
294.003808000,60
296.033823000,60
299.793660000,60
301.263765000,60
302.903642000,60
303.613592000,60
308.684125000,60
313.753415000,60
314.583411000,67
314.663485000,60
315.636643000,90
315.638773000,678
315.639891000,82
