Time,Length
149.399573000,117
149.451542000,60
149.455537000,60
149.459411000,60
149.467781000,117
149.523499000,60
149.527375000,60
149.531248000,60
149.539619000,117
149.591956000,60
149.595578000,60
149.599826000,60
149.607571000,117
149.660164000,60
149.663661000,60
149.667534000,60
149.676029000,117
149.732369000,60
149.735627000,60
149.740490000,60
149.747735000,117
149.795705000,60
149.799580000,60
149.963979000,117
149.999583000,60
150.003581000,60
150.015822000,117
150.055680000,60
150.059671000,60
150.064043000,60
150.067666000,117
150.104021000,60
150.107891000,60
150.112141000,117
150.156488000,60
150.159235000,60
150.163607000,117
150.203583000,60
150.207331000,60
150.212328000,117
150.268051000,60
150.271417000,60
151.287674000,117
151.337394000,60
151.343395000,60
151.347762000,117
151.391611000,60
151.401230000,60
151.407850000,117
151.455947000,60
151.463317000,60
151.467690000,117
151.515411000,60
151.523536000,60
151.527527000,60
151.532024000,117
151.575374000,60
151.579496000,60
151.583493000,60
151.587865000,117
151.627717000,60
151.635462000,60
151.639834000,117
151.679936000,60
151.683434000,60
151.692177000,117
151.732154000,60
151.739648000,60
151.744019000,117
151.787620000,60
151.791616000,60
151.795988000,60
151.800236000,117
151.839338000,60
151.847583000,60
151.852221000,117
151.983751000,60
151.991244000,60
151.995617000,117
152.035842000,60
152.041721000,60
152.048093000,60
152.051710000,117
152.091684000,60
152.099555000,60
152.103684000,117
152.148024000,60
152.159643000,60
152.164396000,60
152.167887000,117
152.208113000,60
152.212861000,60
152.228476000,117
152.267326000,60
152.271699000,60
152.276072000,117
152.319673000,60
152.323418000,60
152.327793000,117
152.368391000,60
152.372270000,60
152.380015000,117
152.420235000,60
152.424484000,60
152.431727000,117
152.471578000,60
152.475200000,60
152.579772000,117
152.619372000,60
152.623487000,60
153.243983000,117
153.283333000,60
153.287331000,60
153.291953000,117
153.339551000,60
153.344575000,60
153.347795000,60
153.351797000,117
153.392393000,60
153.399888000,60
153.404385000,117
153.444367000,60
153.447857000,60
153.452106000,60
153.489084000,117
153.535681000,60
153.539428000,60
153.544800000,117
153.587523000,60
153.592270000,60
153.599516000,117
153.639993000,60
153.643739000,60
153.647987000,117
153.687339000,60
153.691586000,60
153.695832000,117
153.735309000,60
153.739807000,60
153.747677000,117
153.787903000,60
153.792405000,60
153.795896000,117
153.839871000,60
153.847366000,60
171.990950000,117
172.042427000,60
172.046540000,60
172.051037000,117
172.102757000,60
172.107128000,60
172.118646000,117
172.154849000,60
172.159474000,60
172.162844000,117
172.206819000,60
172.211564000,60
172.218559000,60
172.222932000,117
172.258537000,60
172.262783000,60
172.267780000,117
172.326875000,60
172.330741000,60
172.338862000,60
172.342989000,117
172.386958000,60
172.391081000,60
172.394829000,60
172.431305000,117
172.466786000,60
172.470657000,60
172.475423000,117
172.515006000,60
172.518127000,60
172.526998000,117
172.566974000,60
172.570471000,60
172.667165000,117
172.710886000,60
172.718756000,60
172.722379000,60
172.727007000,117
172.762855000,60
172.766607000,60
172.770724000,117
172.815197000,60
172.822568000,60
172.826690000,117
172.866675000,60
172.875161000,60
172.882914000,117
172.922760000,60
172.930753000,60
172.938247000,60
172.943370000,117
172.986342000,60
172.990465000,60
172.998712000,60
173.059183000,117
173.098776000,60
173.106521000,60
173.115515000,117
173.150503000,60
173.155865000,60
174.771633000,117
174.814606000,60
174.818605000,60
174.822350000,60
174.827472000,117
174.867324000,60
174.871074000,60
174.878817000,117
174.918917000,60
174.926912000,60
174.932284000,117
174.970389000,60
174.974512000,60
174.979881000,117
175.018481000,60
175.024228000,60
176.554921000,117
176.594280000,60
176.598395000,60
176.602767000,117
176.638496000,60
176.642118000,60
176.647616000,117
176.690597000,60
176.694587000,60
176.698349000,60
176.702830000,117
176.742433000,60
176.746560000,60
176.751301000,117
176.790781000,60
176.794530000,60
176.799156000,117
176.838623000,60
176.847246000,60
177.715840000,117
177.758440000,60
177.762439000,60
177.766934000,60
177.771188000,117
177.810532000,60
177.815029000,60
177.818527000,60
177.823406000,117
177.863010000,60
177.870399000,60
177.874993000,117
177.911721000,60
177.914844000,60
177.918840000,117
177.954569000,60
177.962814000,60
177.967311000,117
178.002539000,60
178.006429000,60
178.011036000,117
178.054509000,60
178.058880000,60
178.062757000,60
178.067634000,117
178.102729000,60
178.106976000,60
178.114600000,117
178.154825000,60
178.158454000,60
178.162817000,117
178.202294000,60
178.207043000,60
178.210540000,117
178.246892000,60
178.252019000,60
178.254886000,117
178.294611000,60
178.298485000,60
178.830671000,117
178.878632000,60
178.882629000,60
193.435147000,93
193.610540000,60
200.710720000,117
200.758939000,60
200.766186000,60
200.770933000,117
200.818529000,60
200.822651000,60
200.834769000,117
200.874245000,60
200.878996000,60
200.883365000,117
200.922716000,60
200.926839000,60
200.932834000,117
200.966940000,60
200.981055000,60
200.986803000,117
201.034898000,60
201.043648000,60
201.071001000,117
201.111352000,60
201.115598000,60
201.118727000,117
201.178560000,60
201.187554000,60
201.191176000,117
201.234775000,60
201.238647000,60
201.243145000,117
201.278374000,60
201.282746000,60
201.326973000,117
201.366695000,60
201.370698000,60
201.374940000,117
201.411168000,60
201.415166000,60
201.419041000,117
201.470631000,60
201.475007000,60
201.478752000,117
201.514608000,60
201.518353000,60
201.555465000,117
201.594306000,60
201.598554000,60
201.602427000,117
201.642540000,60
201.646526000,60
201.652271000,117
201.690749000,60
201.698494000,60
201.702866000,117
201.755085000,60
201.758834000,60
201.794943000,117
201.834536000,60
201.838409000,60
201.842783000,117
201.898504000,60
201.902744000,60
201.907116000,117
202.026920000,60
202.030792000,60
202.075143000,117
202.110494000,60
202.114621000,60
202.118491000,117
202.154592000,60
202.158979000,60
202.163340000,117
202.203562000,60
202.206934000,60
202.211557000,117
202.250657000,60
202.255654000,60
202.258653000,117
202.314743000,60
202.318618000,60
202.355470000,117
202.394446000,60
202.399567000,60
202.403078000,117
202.442667000,60
202.446539000,60
202.450930000,117
202.486515000,60
202.491316000,60
202.495635000,117
202.534616000,60
202.538358000,60
202.590949000,117
202.631927000,60
202.634798000,60
202.638922000,117
202.679149000,60
202.683020000,60
202.686642000,117
202.726244000,60
202.730620000,60
202.735238000,117
202.774965000,60
202.778211000,60
202.871031000,117
202.922750000,60
202.927123000,60
202.934991000,117
202.975092000,60
202.978215000,60
202.982962000,117
203.042927000,60
203.046298000,60
203.051186000,117
203.090896000,60
203.098517000,60
203.127625000,117
203.166850000,60
203.171097000,60
203.174975000,117
203.214321000,60
203.218444000,60
203.222815000,117
203.258420000,60
203.262548000,60
203.267165000,117
203.306391000,60
203.311263000,60
203.346741000,117
203.406955000,60
203.410452000,60
203.414824000,117
203.450677000,60
203.454825000,60
203.462671000,117
203.502779000,60
203.507020000,60
203.511265000,117
203.550868000,60
203.558736000,60
203.586843000,117
203.626570000,60
203.630573000,60
203.635315000,117
203.675167000,60
203.678540000,60
203.686035000,117
203.722644000,60
203.727259000,60
203.734256000,117
203.770372000,60
203.774606000,60
203.815082000,117
203.858804000,60
203.862676000,60
203.867424000,117
203.906901000,60
203.910898000,60
203.918394000,117
203.958743000,60
203.962491000,60
203.967239000,117
204.003093000,60
204.006838000,60
204.046940000,117
204.086429000,60
204.090662000,60
204.095660000,117
204.130764000,60
204.134386000,60
204.138633000,117
204.182856000,60
204.187244000,60
204.190728000,117
204.230703000,60
204.238948000,60
204.242695000,117
204.282423000,60
204.286794000,60
204.327268000,117
204.366886000,60
204.370868000,60
204.379489000,117
204.419089000,60
204.426710000,60
204.430956000,117
204.471057000,60
204.475178000,60
204.478801000,117
204.519652000,60
204.523528000,60
204.527023000,117
204.566250000,60
204.578866000,60
204.607099000,117
204.642089000,60
204.646324000,60
204.650946000,117
204.687175000,60
204.691187000,60
204.695045000,117
204.738775000,60
204.742912000,60
204.747013000,117
204.787115000,60
204.790488000,60
204.794985000,117
204.834585000,60
204.838457000,60
204.878935000,117
204.918923000,60
204.922532000,60
204.927029000,117
204.962507000,60
204.966268000,60
204.971377000,117
205.010604000,60
205.018473000,60
205.022596000,117
205.062575000,60
205.066445000,60
205.071067000,117
205.110921000,60
205.114538000,60
205.146770000,117
205.190497000,60
205.198864000,60
205.203239000,117
205.242343000,60
205.247346000,60
205.250581000,117
205.299430000,60
205.302175000,60
205.307172000,117
205.347029000,60
205.350895000,60
205.387002000,117
205.426723000,60
205.430472000,60
205.435722000,117
205.475324000,60
205.480088000,60
205.482816000,117
205.522670000,60
205.526293000,60
205.531036000,117
205.570515000,60
205.574896000,60
205.582757000,117
205.618368000,60
205.622983000,60
205.658712000,117
205.699062000,60
205.722299000,60
205.726545000,117
205.766647000,60
205.770769000,60
205.774389000,117
205.814752000,60
205.818488000,60
205.822736000,117
205.858589000,60
205.862836000,60
205.898816000,117
205.938416000,60
205.942662000,60
205.948536000,117
205.986886000,60
205.990634000,60
205.994507000,117
206.034985000,60
206.039232000,60
206.042852000,117
206.082828000,60
206.086951000,60
206.091073000,117
206.126553000,60
206.138673000,60
206.170774000,117
206.235236000,60
206.238984000,60
206.243106000,117
206.282837000,60
206.287079000,60
206.290828000,117
206.326931000,60
206.330552000,60
206.335174000,117
206.374899000,60
206.378521000,60
206.418874000,117
206.454976000,60
206.458475000,60
206.467229000,117
206.510693000,60
206.518583000,60
206.522686000,117
206.570907000,60
206.574403000,60
206.579027000,117
206.618762000,60
206.622500000,60
206.659729000,117
206.698927000,60
206.706323000,60
206.711195000,117
206.750422000,60
206.754793000,60
206.759041000,117
206.795395000,60
206.799392000,60
206.807136000,117
206.842867000,60
206.847239000,60
206.926691000,117
206.978918000,60
206.982408000,60
206.990776000,117
207.030752000,60
207.034758000,60
207.039507000,117
207.082354000,60
207.086600000,60
207.090895000,117
207.134448000,60
207.138558000,60
207.142817000,117
207.178796000,60
207.182792000,60
207.215276000,117
207.254875000,60
207.262518000,60
207.267634000,117
207.306593000,60
207.314339000,60
207.319148000,117
207.358812000,60
207.366956000,60
207.374800000,117
207.426522000,60
207.434641000,60
207.474738000,117
207.514467000,60
207.518468000,60
207.522711000,117
207.562937000,60
207.570438000,60
207.574929000,117
207.614281000,60
207.618527000,60
207.626149000,117
207.669871000,60
207.675367000,60
207.702754000,117
207.742702000,60
207.746579000,60
207.751446000,117
207.790797000,60
207.795920000,60
207.799166000,117
207.838637000,60
207.846506000,60
207.850753000,117
207.891104000,60
207.899223000,60
207.934833000,117
207.975068000,60
207.982938000,60
207.991310000,117
208.034772000,60
208.042768000,60
208.046264000,117
208.086998000,60
208.094737000,60
208.098733000,117
208.138713000,60
208.143082000,60
208.183438000,117
208.222909000,60
208.226778000,60
208.231152000,117
208.271127000,60
208.278874000,60
208.282871000,117
208.322845000,60
208.326724000,60
208.331091000,117
208.371067000,60
208.374689000,60
208.382934000,117
208.422785000,60
208.426657000,60
208.463261000,117
208.502630000,60
208.506608000,60
208.510985000,117
208.551216000,60
208.555084000,60
208.559075000,117
208.594814000,60
208.598560000,60
208.603052000,117
208.642401000,60
208.646398000,60
208.650771000,117
208.690370000,60
208.694376000,60
208.734595000,117
208.770455000,60
208.778442000,60
208.782942000,117
208.823043000,60
208.826441000,60
208.830916000,117
208.871157000,60
208.878527000,60
208.883005000,117
208.923105000,60
208.926480000,60
208.962829000,117
208.998457000,60
209.002929000,60
209.007201000,117
209.134223000,60
209.139097000,60
209.146846000,117
209.183203000,60
209.186692000,60
209.223171000,117
209.262898000,60
209.266893000,60
209.271639000,117
209.280756000,142
209.359839000,60
209.362711000,60
209.367456000,117
209.406949000,60
209.410802000,60
209.455031000,117
209.490509000,60
209.498627000,60
209.502999000,117
209.542603000,60
209.546609000,60
209.551351000,117
209.590817000,60
209.598690000,60
209.602816000,117
209.642163000,60
209.646535000,60
209.682891000,117
209.722611000,60
209.726615000,60
209.730736000,117
209.770460000,60
209.778713000,60
209.783202000,117
209.823054000,60
209.826301000,60
209.831173000,117
209.884304000,60
209.886765000,60
209.926868000,117
209.975086000,60
209.979004000,60
209.983581000,117
210.026430000,60
210.030427000,60
210.034426000,117
210.074647000,60
210.078781000,60
210.083020000,117
210.122623000,60
210.126994000,60
210.166594000,117
210.206447000,60
210.210322000,60
210.214439000,117
210.254797000,60
210.258540000,60
210.262410000,117
210.305275000,60
210.310005000,60
210.313504000,117
210.353355000,60
210.356852000,60
210.397581000,117
210.434183000,60
210.441552000,60
210.446296000,117
210.485276000,60
210.489270000,60
210.494393000,117
210.534744000,60
210.538388000,60
210.542867000,117
210.578974000,60
210.582590000,60
210.587099000,117
210.622441000,60
210.627311000,60
210.667039000,117
210.711268000,60
210.715008000,60
210.718634000,117
210.758484000,60
210.762729000,60
210.768100000,117
210.778594000,184
210.810703000,60
210.818319000,60
210.822818000,117
210.826941000,192
210.866918000,60
210.870917000,60
210.903025000,60
210.906643000,117
210.910891000,184
210.947243000,60
210.950614000,60
210.959987000,117
211.019448000,184
211.034709000,60
211.038563000,60
211.042933000,117
211.082832000,60
211.086907000,60
211.091437000,117
211.130886000,60
211.134627000,60
211.166622000,117
211.206458000,60
211.210458000,60
211.215330000,117
211.254305000,60
211.258801000,60
211.262799000,117
211.303151000,60
211.306646000,60
211.311018000,117
211.350871000,60
211.354147000,60
211.358990000,117
211.394728000,60
211.398721000,60
211.439450000,117
211.478422000,60
211.483290000,60
211.487168000,117
211.527044000,60
211.530510000,60
211.534757000,117
211.574359000,60
211.578730000,60
211.586862000,117
211.622585000,60
211.626705000,60
211.667190000,117
211.706661000,60
211.714026000,60
211.718918000,117
211.762993000,60
211.770553000,60
211.775365000,117
211.814963000,60
211.822708000,60
211.827079000,117
211.867181000,60
211.874551000,60
211.907782000,117
211.962499000,60
211.966746000,60
211.970623000,117
212.006848000,60
212.014715000,60
212.018720000,117
212.058567000,60
212.067560000,60
212.070807000,117
212.127147000,60
212.134393000,60
212.146762000,117
212.182868000,60
212.190608000,60
212.194750000,117
212.234831000,60
212.242701000,60
212.247075000,117
212.283179000,60
212.290438000,60
212.295051000,117
212.334526000,60
212.342641000,60
212.378876000,117
212.418846000,60
212.426843000,60
212.434716000,117
212.475190000,60
212.482307000,60
212.487059000,117
212.527528000,60
212.530905000,60
212.539146000,117
212.579125000,60
212.582502000,60
212.618475000,117
212.658457000,60
212.662946000,60
212.666694000,117
212.706673000,60
212.710797000,60
212.719170000,117
212.760388000,60
212.768261000,60
212.773004000,117
212.811982000,60
212.815479000,60
212.847710000,117
212.887811000,60
212.892181000,60
212.896305000,117
212.936031000,60
212.939780000,60
212.944150000,117
212.984252000,60
212.988373000,60
212.992123000,117
213.031759000,60
213.035719000,60
213.040092000,117
213.088317000,60
213.096192000,60
213.128412000,117
213.168139000,60
213.171644000,60
213.176258000,117
213.215376000,60
213.219981000,60
213.224353000,117
213.263707000,60
213.267830000,60
213.275823000,117
213.311926000,60
213.316188000,60
213.326168000,117
213.364145000,60
213.368517000,60
213.409508000,117
213.444221000,60
213.448602000,60
213.453590000,117
213.488365000,60
213.492441000,60
213.496710000,117
213.536666000,60
213.540662000,60
213.544681000,117
213.592630000,60
213.597128000,60
213.604623000,117
213.641477000,60
213.644725000,60
213.680828000,117
213.723551000,60
213.731670000,60
213.737042000,117
213.772652000,60
213.776269000,60
213.781266000,117
213.816747000,60
213.820741000,60
213.829739000,117
213.869087000,60
213.876832000,60
213.913184000,117
213.952537000,60
213.956296000,60
213.960657000,117
214.000508000,60
214.005378000,60
214.009251000,117
214.052475000,60
214.056348000,60
214.060471000,117
214.100946000,60
214.104444000,60
214.109316000,117
214.149293000,60
214.152920000,60
